cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def_one,min,max,visname,paramnum,visname,paramnum,visname
dry_level,dry_level,0.800000011920929,0,100,Dry Level,0,Dry Level,2,Dry Level
early_level,early_level,0.100000001490116,0,100,Early Level,1,Early Level,3,Early Level
late_level,late_level,0.200000002980232,0,100,Late Level,2,Late Level,4,Late Level
size,size,0.280000001192093,10,60,Size,3,Size,5,Size
width,width,0.5,50,150,Width,4,Width,6,Width
predelay,delay,0.0399999991059303,0,100,Predelay,5,Predelay,7,Predelay
diffuse,diffuse,0.899999976158142,0,100,Diffuse,6,Diffuse,8,Diffuse
low_cut,low_cut,0.0199999995529652,0,200,Low Cut,7,Low Cut,9,Low Cut
low_cross,low_xo,0.300000011920929,200,1200,Low Cross,8,Low Cross,10,Low Cross
low_mult,low_mult,0.399999976158142,0.5,2.5,Low Mult,9,Low Mult,11,Low Mult
high_cut,high_cut,0.439999997615814,1000,16000,High Cut,10,High Cut,12,High Cut
high_cross,high_xo,0.300000011920929,1000,16000,High Cross,11,High Cross,13,High Cross
high_mult,high_mult,0.300000011920929,0.2,1.2,High Mult,12,High Mult,14,High Mult
spin,spin,0.329999983310699,0,10,Spin,13,Spin,15,Spin
wander,wander,0.375,0,40,Wander,14,Wander,16,Wander
decay,decay,0.121212117373943,0.1,10,Decay,15,Decay,17,Decay
early_send,early_send,0.200000002980232,0,100,Early Send,16,Early Send,18,Early Send
modulation,modulation,0.150000005960464,0,100,Modulation,17,Modulation,19,Modulation
