cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2
paramid,def,min,max,visname,paramnum,visname
param_0,0,-1000,1000,Phase randomness,0,Phase randomness
param_1,0,0,1024,Low harmonics protectio,1,Low harmonics protectio
param_2,0,0,2048,Sub harmonic 1,2,Sub harmonic 1
param_3,0,0,2048,Sub harmonic 3,3,Sub harmonic 3
param_4,0,0,2048,Sub harmonic 4,4,Sub harmonic 4
param_5,0,-1024,1024,Timbre EQ band 1,5,Timbre EQ band 1
param_6,0,-1024,1024,Timbre EQ band 2,6,Timbre EQ band 2
param_7,0,-1024,1024,Timbre EQ band 3,7,Timbre EQ band 3
param_8,0,-1024,1024,Timbre EQ band 4,8,Timbre EQ band 4
param_9,0,-1024,1024,Timbre EQ band 5,9,Timbre EQ band 5
param_10,0,-1024,1024,Timbre EQ band 6,10,Timbre EQ band 6
param_11,0,0,1000,Harmonic mask 1/12,11,Harmonic mask 1/12
param_12,0,0,1000,Harmonic mask 2/12,12,Harmonic mask 2/12
param_13,0,0,1000,Harmonic mask 3/12,13,Harmonic mask 3/12
param_14,0,0,1000,Harmonic mask 4/12,14,Harmonic mask 4/12
param_15,0,0,1000,Harmonic mask 5/12,15,Harmonic mask 5/12
param_16,0,0,1000,Harmonic mask 6/12,16,Harmonic mask 6/12
param_17,0,0,1000,Harmonic mask 7/12,17,Harmonic mask 7/12
param_18,0,0,1000,Harmonic mask 8/12,18,Harmonic mask 8/12
param_19,0,0,1000,Harmonic mask 9/12,19,Harmonic mask 9/12
param_20,0,0,1000,Harmonic mask 10/12,20,Harmonic mask 10/12
param_21,0,0,1000,Harmonic mask 11/12,21,Harmonic mask 11/12
param_22,0,0,1000,Harmonic mask 12/12,22,Harmonic mask 12/12
param_23,0,0,1000,Harmonic mask mix,23,Harmonic mask mix
param_24,0,-1000,1000,Harmonic mask mix LFO a,24,Harmonic mask mix LFO a
param_25,0,0,1000,Stereo tremolo depth,25,Stereo tremolo depth
param_26,0,0,1000,Volume env attack lengt,26,Volume env attack lengt
param_27,0,0,1000,Volume env decay length,27,Volume env decay length
param_28,0,0,1000,Volume env release leng,28,Volume env release leng
param_29,0,0,1,Velocity to attack,29,Velocity to attack
param_30,0,0,1,Release velocity to rel,30,Release velocity to rel
param_31,0,0,1000,Pluck decay length,31,Pluck decay length
param_32,0,0,1,Velocity to pluck decay,32,Velocity to pluck decay
param_33,0,0,1,Alternate pluck mode,33,Alternate pluck mode
param_34,0,0,1,Pluck uses harmonic mas,34,Pluck uses harmonic mas
param_35,0,0,1,Pluck only on release,35,Pluck only on release
param_36,0,0,2000,Master volume,36,Master volume
param_37,0,0,1,Velocity to volume,37,Velocity to volume
param_38,0,-2400,2400,Master pitch,38,Master pitch
param_39,0,-2400,2400,Detuning,39,Detuning
param_40,0,-1000,1000,Grittiness,40,Grittiness
param_41,0,0,1000,Pitch vibrato depth,41,Pitch vibrato depth
param_42,0,-1000,1000,Pitch LFO amount,42,Pitch LFO amount
param_43,0,0,1,Portamento mode,43,Portamento mode
param_44,0,0,1,Monophonic mode,44,Monophonic mode
