cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2
paramid,def,min,max,visname,paramnum,visname
param_0,88,0,160,Main - Master level,0,Main - Master level
param_1,128,-128,128,Main - Master LFO level,1,Main - Master LFO level
param_2,0,-24,24,Main - Master pitch,2,Main - Master pitch
param_3,128,0,256,Main - Volume attack,3,Main - Volume attack
param_4,165,0,256,Main - Volume decay,4,Main - Volume decay
param_5,0,-128,128,Main - Volume sustain,5,Main - Volume sustain
param_6,166,0,256,Main - Volume release,6,Main - Volume release
param_7,128,0,256,Main - Filter attack,7,Main - Filter attack
param_8,128,0,256,Main - Filter decay,8,Main - Filter decay
param_9,0,-128,128,Main - Filter sustain,9,Main - Filter sustain
param_10,128,0,256,Main - Filter release,10,Main - Filter release
param_11,6,1,9,Main - Unison order,11,Main - Unison order
param_12,58,0,128,Main - Unison panning,12,Main - Unison panning
param_13,128,16,128,Main - Unison volume,13,Main - Unison volume
param_14,158,0,256,Main - Unison pitch,14,Main - Unison pitch
param_15,0,0,96,Main - Unison sub level,15,Main - Unison sub level
param_16,128,0,128,Main - Unison phase,16,Main - Unison phase
param_17,27,0,192,Main - Unison envelope,17,Main - Unison envelope
param_18,512,0,512,Main - Modulation X,18,Main - Modulation X
param_19,442,0,512,Main - Modulation Y,19,Main - Modulation Y
param_20,0,0,256,Operator 1 - Starting p,20,Operator 1 - Starting p
param_21,256,-256,256,Operator 1 - Volume,21,Operator 1 - Volume
param_22,1200,0,4800,Operator 1 - Pitch enve,22,Operator 1 - Pitch enve
param_23,128,0,256,Operator 1 - Panning -,23,Operator 1 - Panning -
param_24,128,0,256,Operator 1 - Panning -,24,Operator 1 - Panning -
param_25,0,0,128,Operator 1 - Panning -,25,Operator 1 - Panning -
param_26,128,-128,256,Operator 1 - Panning -,26,Operator 1 - Panning -
param_27,40000,512,65536,Operator 1 - Panning -,27,Operator 1 - Panning -
param_28,0,-128,128,Operator 1 - Panning -,28,Operator 1 - Panning -
param_29,0,-128,128,Operator 1 - Panning -,29,Operator 1 - Panning -
