cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,min,max,visname,paramnum,visname,paramnum,visname
wavetype1,waveType1,1.0,0.0,8.0,Wave Type 1,0,Wave Type 1,0,Wave Type 1
mastervolume1,masterVolume1,0.5,0.0,1.0,Master Volume 1,1,Master Volume 1,1,Master Volume 1
attacktime1,attackTime1,0.0,0.0,1.0,Attack Time 1,2,Attack Time 1,2,Attack Time 1
sustaintime1,sustainTime1,0.1665135622024536,0.0,1.0,Sustain Time 1,3,Sustain Time 1,3,Sustain Time 1
sustainpunch1,sustainPunch1,0.0,0.0,1.0,Punch 1,4,Punch 1,4,Punch 1
decaytime1,decayTime1,0.1682682484388351,0.0,1.0,Decay Time 1,5,Decay Time 1,5,Decay Time 1
compressionamount1,compressionAmount1,0.300000011920929,0.0,1.0,Compression 1,6,Compression 1,6,Compression 1
startfrequency1,startFrequency1,0.5763818621635437,0.0,1.0,Frequency 1,7,Frequency 1,7,Frequency 1
minfrequency1,minFrequency1,0.0,0.0,1.0,Frequency Cutoff 1,8,Frequency Cutoff 1,8,Frequency Cutoff 1
slide1,slide1,0.0,-1.0,1.0,Frequency Slide 1,9,Frequency Slide 1,9,Frequency Slide 1
deltaslide1,deltaSlide1,0.0,-1.0,1.0,Delta Slide 1,10,Delta Slide 1,10,Delta Slide 1
vibratodepth1,vibratoDepth1,0.0,0.0,1.0,Vibrato Depth 1,11,Vibrato Depth 1,11,Vibrato Depth 1
vibratospeed1,vibratoSpeed1,0.0,0.0,1.0,Vibrato Speed 1,12,Vibrato Speed 1,12,Vibrato Speed 1
overtones1,overtones1,0.0,0.0,1.0,Harmonics 1,13,Harmonics 1,13,Harmonics 1
overtonefalloff1,overtoneFalloff1,0.0,0.0,1.0,Harmonics Falloff 1,14,Harmonics Falloff 1,14,Harmonics Falloff 1
changerepeat1,changeRepeat1,0.0,0.0,1.0,Pitch Jump Repeat Speed 1,15,Pitch Jump Repeat Speed 1,15,Pitch Jump Repeat Speed 1
changeamount1,changeAmount1,0.0,-1.0,1.0,Pitch Jump Amount 1 1,16,Pitch Jump Amount 1 1,16,Pitch Jump Amount 1 1
changespeed1,changeSpeed1,0.0,0.0,1.0,Pitch Jump Onset 1 1,17,Pitch Jump Onset 1 1,17,Pitch Jump Onset 1 1
changeamount21,changeAmount21,0.0,-1.0,1.0,Pitch Jump Amount 2 1,18,Pitch Jump Amount 2 1,18,Pitch Jump Amount 2 1
changespeed21,changeSpeed21,0.0,0.0,1.0,Pitch Jump Onset 2 1,19,Pitch Jump Onset 2 1,19,Pitch Jump Onset 2 1
squareduty1,squareDuty1,0.0,0.0,1.0,Square Duty 1,20,Square Duty 1,20,Square Duty 1
dutysweep1,dutySweep1,0.0,-1.0,1.0,Duty Sweep 1,21,Duty Sweep 1,21,Duty Sweep 1
repeatspeed1,repeatSpeed1,0.0,0.0,1.0,Repeat Speed 1,22,Repeat Speed 1,22,Repeat Speed 1
flangeroffset1,flangerOffset1,0.0,-1.0,1.0,Flanger Offset 1,23,Flanger Offset 1,23,Flanger Offset 1
flangersweep1,flangerSweep1,0.0,-1.0,1.0,Flanger Sweep 1,24,Flanger Sweep 1,24,Flanger Sweep 1
lpfiltercutoff1,lpFilterCutoff1,1.0,0.0,1.0,LP Filter Cutoff 1,25,LP Filter Cutoff 1,25,LP Filter Cutoff 1
lpfiltercutoffsweep1,lpFilterCutoffSweep1,0.0,-1.0,1.0,LP Filter Cutoff Sweep 1,26,LP Filter Cutoff Sweep 1,26,LP Filter Cutoff Sweep 1
lpfilterresonance1,lpFilterResonance1,0.0,0.0,1.0,LP Filter Resonance 1,27,LP Filter Resonance 1,27,LP Filter Resonance 1
hpfiltercutoff1,hpFilterCutoff1,0.1000000014901161,0.0,1.0,HP Filter Cutoff 1,28,HP Filter Cutoff 1,28,HP Filter Cutoff 1
hpfiltercutoffsweep1,hpFilterCutoffSweep1,0.0,-1.0,1.0,HP Filter Cutoff Sweep 1,29,HP Filter Cutoff Sweep 1,29,HP Filter Cutoff Sweep 1
bitcrush1,bitCrush1,0.0,0.0,1.0,Bit Crush 1,30,Bit Crush 1,30,Bit Crush 1
bitcrushsweep1,bitCrushSweep1,0.0,-1.0,1.0,Bit Crush Sweep 1,31,Bit Crush Sweep 1,31,Bit Crush Sweep 1
wavetype1l,waveType1l,0.0,0.0,1.0,Wave Type 1 Lock,32,Wave Type 1 Lock,32,Wave Type 1 Lock
mastervolume1l,masterVolume1l,1.0,0.0,1.0,Master Volume 1 Lock,33,Master Volume 1 Lock,33,Master Volume 1 Lock
attacktime1l,attackTime1l,0.0,0.0,1.0,Attack Time 1 Lock,34,Attack Time 1 Lock,34,Attack Time 1 Lock
sustaintime1l,sustainTime1l,0.0,0.0,1.0,Sustain Time 1 Lock,35,Sustain Time 1 Lock,35,Sustain Time 1 Lock
sustainpunch1l,sustainPunch1l,0.0,0.0,1.0,Punch 1 Lock,36,Punch 1 Lock,36,Punch 1 Lock
decaytime1l,decayTime1l,0.0,0.0,1.0,Decay Time 1 Lock,37,Decay Time 1 Lock,37,Decay Time 1 Lock
compressionamount1l,compressionAmount1l,0.0,0.0,1.0,Compression 1 Lock,38,Compression 1 Lock,38,Compression 1 Lock
startfrequency1l,startFrequency1l,0.0,0.0,1.0,Frequency 1 Lock,39,Frequency 1 Lock,39,Frequency 1 Lock
minfrequency1l,minFrequency1l,0.0,0.0,1.0,Frequency Cutoff 1 Lock,40,Frequency Cutoff 1 Lock,40,Frequency Cutoff 1 Lock
slide1l,slide1l,0.0,0.0,1.0,Frequency Slide 1 Lock,41,Frequency Slide 1 Lock,41,Frequency Slide 1 Lock
deltaslide1l,deltaSlide1l,0.0,0.0,1.0,Delta Slide 1 Lock,42,Delta Slide 1 Lock,42,Delta Slide 1 Lock
vibratodepth1l,vibratoDepth1l,0.0,0.0,1.0,Vibrato Depth 1 Lock,43,Vibrato Depth 1 Lock,43,Vibrato Depth 1 Lock
vibratospeed1l,vibratoSpeed1l,0.0,0.0,1.0,Vibrato Speed 1 Lock,44,Vibrato Speed 1 Lock,44,Vibrato Speed 1 Lock
overtones1l,overtones1l,0.0,0.0,1.0,Harmonics 1 Lock,45,Harmonics 1 Lock,45,Harmonics 1 Lock
