cvpj,cvpj,cvpj,cvpj,cvpj,cvpj,vst2,vst2,vst3,vst3
paramid,extid,def,min,max,visname,paramnum,visname,paramnum,visname
beats_per_minute,beats_per_minute,2,0.333333343267441,5,Beats Per Minute,0,Beats Per Minute,0,Beats Per Minute
bypass,bypass,0,0,1,Bypass,727,Bypass,727,Bypass
chorus_cutoff,chorus_cutoff,60,8,136,Chorus Filter Cutoff,1,Chorus Filter Cutoff,1,Chorus Filter Cutoff
chorus_delay_1,chorus_delay_1,-9,-10,-5.64385986328125,Chorus Delay 1,2,Chorus Delay 1,2,Chorus Delay 1
chorus_delay_2,chorus_delay_2,-7,-10,-5.64385986328125,Chorus Delay 2,3,Chorus Delay 2,3,Chorus Delay 2
chorus_dry_wet,chorus_dry_wet,0.5,0,1,Chorus Mix,4,Chorus Mix,4,Chorus Mix
chorus_feedback,chorus_feedback,0.400000005960465,-0.949999988079071,0.949999988079071,Chorus Feedback,5,Chorus Feedback,5,Chorus Feedback
chorus_frequency,chorus_frequency,-3,-6,3,Chorus Frequency,6,Chorus Frequency,6,Chorus Frequency
chorus_mod_depth,chorus_mod_depth,0.5,0,1,Chorus Mod Depth,7,Chorus Mod Depth,7,Chorus Mod Depth
chorus_on,chorus_on,0,0,1,Chorus Switch,8,Chorus Switch,8,Chorus Switch
chorus_spread,chorus_spread,1,0,1,Chorus Filter Spread,724,Chorus Filter Spread,724,Chorus Filter Spread
chorus_sync,chorus_sync,1,0,3,Chorus Sync,9,Chorus Sync,9,Chorus Sync
chorus_tempo,chorus_tempo,4,0,10,Chorus Tempo,10,Chorus Tempo,10,Chorus Tempo
chorus_voices,chorus_voices,4,1,4,Chorus Voices,554,Chorus Voices,554,Chorus Voices
compressor_attack,compressor_attack,0.5,0,1,Compressor Attack,11,Compressor Attack,11,Compressor Attack
compressor_band_gain,compressor_band_gain,11.6999998092651,-30,30,Compressor Band Gain,12,Compressor Band Gain,12,Compressor Band Gain
compressor_band_lower_ratio,compressor_band_lower_ratio,0.800000011920929,-1,1,Band Lower Ratio,13,Band Lower Ratio,13,Band Lower Ratio
compressor_band_lower_threshold,compressor_band_lower_threshold,-36,-80,0,Band Lower Threshold,14,Band Lower Threshold,14,Band Lower Threshold
compressor_band_upper_ratio,compressor_band_upper_ratio,0.85699999332428,0,1,Band Upper Ratio,15,Band Upper Ratio,15,Band Upper Ratio
compressor_band_upper_threshold,compressor_band_upper_threshold,-25,-80,0,Band Upper Threshold,16,Band Upper Threshold,16,Band Upper Threshold
compressor_enabled_bands,compressor_enabled_bands,0,0,3,Compressor Enabled Bands,17,Compressor Enabled Bands,17,Compressor Enabled Bands
compressor_high_gain,compressor_high_gain,16.2999992370605,-30,30,Compressor High Gain,18,Compressor High Gain,18,Compressor High Gain
compressor_high_lower_ratio,compressor_high_lower_ratio,0.800000011920929,-1,1,High Lower Ratio,19,High Lower Ratio,19,High Lower Ratio
compressor_high_lower_threshold,compressor_high_lower_threshold,-35,-80,0,High Lower Threshold,20,High Lower Threshold,20,High Lower Threshold
compressor_high_upper_ratio,compressor_high_upper_ratio,1,0,1,High Upper Ratio,21,High Upper Ratio,21,High Upper Ratio
compressor_high_upper_threshold,compressor_high_upper_threshold,-30,-80,0,High Upper Threshold,22,High Upper Threshold,22,High Upper Threshold
compressor_low_gain,compressor_low_gain,16.2999992370605,-30,30,Compressor Low Gain,23,Compressor Low Gain,23,Compressor Low Gain
compressor_low_lower_ratio,compressor_low_lower_ratio,0.800000011920929,-1,1,Low Lower Ratio,24,Low Lower Ratio,24,Low Lower Ratio
compressor_low_lower_threshold,compressor_low_lower_threshold,-35,-80,0,Low Lower Threshold,25,Low Lower Threshold,25,Low Lower Threshold
compressor_low_upper_ratio,compressor_low_upper_ratio,0.899999976158142,0,1,Low Upper Ratio,26,Low Upper Ratio,26,Low Upper Ratio
compressor_low_upper_threshold,compressor_low_upper_threshold,-28,-80,0,Low Upper Threshold,27,Low Upper Threshold,27,Low Upper Threshold
compressor_mix,compressor_mix,1,0,1,Compressor Mix,720,Compressor Mix,720,Compressor Mix
compressor_on,compressor_on,0,0,1,Compressor Switch,28,Compressor Switch,28,Compressor Switch
compressor_release,compressor_release,0.5,0,1,Compressor Release,29,Compressor Release,29,Compressor Release
delay_aux_frequency,delay_aux_frequency,2,-2,9,Delay Frequency 2,551,Delay Frequency 2,551,Delay Frequency 2
delay_aux_sync,delay_aux_sync,1,0,3,Delay Sync 2,552,Delay Sync 2,552,Delay Sync 2
delay_aux_tempo,delay_aux_tempo,9,4,12,Delay Tempo 2,553,Delay Tempo 2,553,Delay Tempo 2
delay_dry_wet,delay_dry_wet,0.333400011062622,0,1,Delay Mix,30,Delay Mix,30,Delay Mix
delay_feedback,delay_feedback,0.5,-1,1,Delay Feedback,31,Delay Feedback,31,Delay Feedback
delay_filter_cutoff,delay_filter_cutoff,60,8,136,Delay Filter Cutoff,32,Delay Filter Cutoff,32,Delay Filter Cutoff
delay_filter_spread,delay_filter_spread,1,0,1,Delay Filter Spread,33,Delay Filter Spread,33,Delay Filter Spread
delay_frequency,delay_frequency,2,-2,9,Delay Frequency,34,Delay Frequency,34,Delay Frequency
delay_on,delay_on,0,0,1,Delay Switch,35,Delay Switch,35,Delay Switch
delay_style,delay_style,0,0,3,Delay Style,36,Delay Style,36,Delay Style
delay_sync,delay_sync,1,0,3,Delay Sync,37,Delay Sync,37,Delay Sync
delay_tempo,delay_tempo,9,4,12,Delay Tempo,38,Delay Tempo,38,Delay Tempo
distortion_drive,distortion_drive,0,-30,30,Distortion Drive,39,Distortion Drive,39,Distortion Drive
distortion_filter_blend,distortion_filter_blend,0,0,2,Distortion Filter Blend,40,Distortion Filter Blend,40,Distortion Filter Blend
distortion_filter_cutoff,distortion_filter_cutoff,80,8,136,Distortion Filter Cutoff,41,Distortion Filter Cutoff,41,Distortion Filter Cutoff
distortion_filter_order,distortion_filter_order,0,0,2,Distortion Filter Order,42,Distortion Filter Order,42,Distortion Filter Order
distortion_filter_resonance,distortion_filter_resonance,0.5,0,1,Distortion Filter Resonance,43,Distortion Filter Resonance,43,Distortion Filter Resonance
distortion_mix,distortion_mix,1,0,1,Distortion Mix,44,Distortion Mix,44,Distortion Mix
distortion_on,distortion_on,0,0,1,Distortion Switch,45,Distortion Switch,45,Distortion Switch
distortion_type,distortion_type,0,0,5,Distortion Type,46,Distortion Type,46,Distortion Type
effect_chain_order,effect_chain_order,0,0,362879,Effect Chain Order,47,Effect Chain Order,47,Effect Chain Order
env_1_attack,env_1_attack,0.149499997496605,0,2.37842011451721,Envelope 1 Attack,48,Envelope 1 Attack,48,Envelope 1 Attack
env_1_attack_power,env_1_attack_power,0,-20,20,Envelope 1 Attack Power,49,Envelope 1 Attack Power,49,Envelope 1 Attack Power
env_1_decay,env_1_decay,1,0,2.37842011451721,Envelope 1 Decay,50,Envelope 1 Decay,50,Envelope 1 Decay
