id;name
-12;Bass Drum 2
-11;Bass Drum 3 o1f
-10;RUFINA BD o2c
-9;B.D.(-vBend)
-8;BD808_2(-vBend)
-7;Cho cho 3 (o2e)
-6;Cow-Bell 1
-5;Crash Cymbal (noise)
-4;Crash Noise
-3;Crash Noise Short
-2;ETHNIC Percus.0
-1;ETHNIC Percus.1
0;Heavy BD.
1;Heavy BD2
2;Heavy SD1
3;Hi-Hat close 5_
4;Hi-Hat close 4
5;Hi-Hat close 5
6;Hi-Hat Close 6 -808-
7;Hi-hat #7 Metal o3-6
8;Hi-Hat Close #8 o4
9;Hi-hat Open o4e-g+
10;Open-hat2 Metal o4c-
12;Open-hat3 Metal
11;Hi-Hat Open #4 o4f
13;Metal ride o4c or o5c
14;Rim Shot #1 o3c
15;Snare Drum Light
16;Snare Drum Lighter
17;Snare Drum 808 o2-o3
18;Snare4 -808type- o2
19;Snare5 o1-2(Franger)
20;Tom (old)
21;Synth tom 2 algo 3
22;Synth (Noisy) Tom #3
23;Synth Tom #3
24;Synth -DX7- Tom #4
25;Triangle 1 o5c
