id;name
#01;Sequential Circuits
#02;IDP
#03;Voyetra Turtle Beach, Inc.
#04;Moog Music
#05;Passport Designs
#06;Lexicon Inc.
#07;Kurzweil / Young Chang
#08;Fender
#09;MIDI9
#0a;AKG Acoustics
#0b;Voyce Music
#0c;WaveFrame (Timeline)
#0d;ADA Signal Processors, Inc.
#0e;Garfield Electronics
#0f;Ensoniq
#10;Oberheim / Gibson Labs
#11;Apple
#12;Grey Matter Response
#13;Digidesign Inc.
#14;Palmtree Instruments
#15;JLCooper Electronics
#16;Lowrey Organ Company
#17;Adams-Smith
#18;E-mu
#19;Harmony Systems
#1a;ART
#1b;Baldwin
#1c;Eventide
#1d;Inventronics
#1e;Key Concepts
#1f;Clarity
#20;Passac
#21;Proel Labs (SIEL)
#22;Synthaxe (UK)
#23;Stepp
#24;Hohner
#25;Twister
#26;Ketron s.r.l.
#27;Jellinghaus MS
#28;Southworth Music Systems
#29;PPG (Germany)
#2a;JEN
#2b;Solid State Logic Organ Systems
#2c;Audio Veritrieb-P. Struven
#2d;Neve
#2e;Soundtracs Ltd.
#2f;Elka
#30;Dynacord
#31;Viscount International Spa (Intercontinental Electronics)
#32;Drawmer
#33;Clavia Digital Instruments
#34;Audio Architecture
#35;Generalmusic Corp SpA
#36;Cheetah Marketing
#37;C.T.M.
#38;Simmons UK
#39;Soundcraft Electronics
#3a;Steinberg Media Technologies GmbH
#3b;Wersi Gmbh
#3c;AVAB Niethammer AB
#3d;Digigram
#3e;Waldorf Electronics GmbH
#3f;Quasimidi
#40;Kawai Musical Instruments MFG. CO. Ltd
#41;Roland Corporation
#42;Korg Inc.
#43;Yamaha Corporation
#44;Casio Computer Co. Ltd
#46;Kamiya Studio Co. Ltd
#47;Akai Electric Co. Ltd.
#48;Victor Company of Japan, Ltd.
#4b;Fujitsu Limited
#4c;Sony Corporation
#4e;Teac Corporation
#50;Matsushita Electric Industrial Co. , Ltd
#51;Fostex Corporation
#52;Zoom Corporation
#54;Matsushita Communication Industrial Co., Ltd.
#55;Suzuki Musical Instruments MFG. Co., Ltd.
#56;Fuji Sound Corporation Ltd.
#57;Acoustic Technical Laboratory, Inc.
#59;Faith, Inc.
#5a;Internet Corporation
#5c;Seekers Co. Ltd.
#5f;"SD Card Association"""
#000001;Time/Warner Interactive
#000002;Advanced Gravis Comp. Tech Ltd.
#000003;Media Vision
#000004;Dornes Research Group
#000005;K-Muse
#000006;Stypher
#000007;Digital Music Corp.
#000008;IOTA Systems
#000009;New England Digital
#00000a;Artisyn
#00000b;IVL Technologies Ltd.
#00000c;Southern Music Systems
#00000d;Lake Butler Sound Company
#00000e;Alesis Studio Electronics
#00000f;Sound Creation
#000001;Time/Warner Interactive
#000010;DOD Electronics Corp.
#000011;Studer-Editech
#000012;Sonus
#000013;Temporal Acuity Products
#000014;Perfect Fretworks
#000015;KAT Inc.
#000016;Opcode Systems
#000017;Rane Corporation
#000018;Anadi Electronique
#000019;KMX
#00001a;Allen & Heath Brenell
#00001b;Peavey Electronics
#00001c;360 Systems
#00001d;Spectrum Design and Development
#00001e;Marquis Music
#00001f;Zeta Systems
#000020;Axxes (Brian Parsonett)
#000021;Orban
#000022;Indian Valley Mfg.
#000023;Triton
#000024;KTI
#000025;Breakaway Technologies
#000026;Leprecon / CAE Inc.
#000027;Harrison Systems Inc.
#000028;Future Lab/Mark Kuo
#000029;Rocktron Corporation
#00002a;PianoDisc
#00002b;Cannon Research Group
#00002c;Reserved
#00002d;Rodgers Instrument LLC
#00002e;Blue Sky Logic
#00002f;Encore Electronics
#000030;Uptown
#000031;Voce
#000032;CTI Audio, Inc. (Musically Intel. Devs.)
#000033;S3 Incorporated
