id;name;color_r;color_g;color_b;gm_inst
0;Piano (Air);0;0.27;0.55;1
1;Double Bass (Wood);0.13;0.43;0.18;36
2;Bass Drum (Stone);0.61;0.3;0.31;null
3;Snare Drum (Sand);0.61;0.61;0;null
4;Click (Glass);0.49;0.24;0.48;14
5;Guitar (Wool);0.4;0.18;0.12;25
6;Flute (Clay);0.61;0.58;0.25;74
7;Bell (Block of Gold);0.61;0;0.61;113
8;Chime (Packed Ice);0.21;0.44;0.49;null
9;Xylophone (Bone Block);0.61;0.61;0.61;14
10;Iron Xylophone (Iron Block);0;0.44;0.61;12
11;Cow Bell (Soul Sand);0.61;0.04;0.05;null
12;Didgeridoo (Pumpkin);0.61;0.23;0.06;null
13;Bit (Block of Emerald);0;0.61;0;null
14;Banjo (Hay);0.61;0;0.23;106
15;Pling (Glowstone);0.24;0.24;0.24;null
