id;name
-33;High Q
-32;Slap
-31;Scratch Push
-30;Scratch Pull
-29;Sticks
-28;Square Click
-27;Metronome Click
-26;Metronome Bell
-25;Acoustic Bass Drum
-24;Bass Drum 1
-23;Side Stick
-22;Acoustic Snare
-21;Hand Clap
-20;Electric Snare
-19;Low Floor Tom
-18;Closed Hi-Hat
-17;High Floor Tom
-16;Pedal Hi-Hat
-15;Low Tom
-14;Open Hi-Hat
-13;Low-Mid Tom
-12;Hi-Mid Tom
-11;Crash Cymbal 1
-10;High Tom
-9;Ride Cymbal 1
-8;Chinese Cymbal
-7;Ride Bell
-6;Tambourine
-5;Splash Cymbal
-4;Cowbell
-3;Crash Symbol 2
-2;Vibraslap
-1;Ride Cymbal 2
0;Hi Bongo
1;Low Bongo
2;Mute Hi Conga
3;Open Hi Conga
4;Low Conga
5;High Timbale
6;Low Timbale
7;High Agogo
8;Low Agogo
9;Cabasa
10;Maracas
11;Short Whistle
12;Long Whistle
13;Short Guiro
14;Long Guiro
15;Claves
16;Hi Wood Block
17;Low Wood Block
18;Mute Cuica
19;Open Cuica
20;Mute Triangle
21;Open Triangle
22;Shaker
23;Jingle Bell
24;Belltree
25;Castanets
26;Closed Surdo
27;Open Surdo
