id;url
1_0;1_0_Yamaha_Grand_Piano.smplpck
2_0;2_0_Bright_Yamaha_Grand.smplpck
3_0;3_0_Electric_Piano.smplpck
4_0;4_0_Honky_Tonk.smplpck
5_0;5_0_Rhodes_EP.smplpck
5_8;5_8_Detuned_EP_1.smplpck
6_0;6_0_Legend_EP_2.smplpck
6_8;6_8_Detuned_EP_2.smplpck
7_0;7_0_Harpsichord.smplpck
7_8;7_8_Coupled_Harpsichord.smplpck
8_0;8_0_Clavinet.smplpck
9_0;9_0_Celesta.smplpck
10_0;10_0_Glockenspiel.smplpck
11_0;11_0_Music_Box.smplpck
12_0;12_0_Vibraphone.smplpck
13_0;13_0_Marimba.smplpck
14_0;14_0_Xylophone.smplpck
15_0;15_0_Tubular_Bells.smplpck
15_8;15_8_Church_Bell.smplpck
16_0;16_0_Dulcimer.smplpck
17_0;17_0_DrawbarOrgan.smplpck
17_8;17_8_Detuned_Organ_1.smplpck
18_0;18_0_Percussive_Organ.smplpck
18_8;18_8_Detuned_Organ_2.smplpck
19_0;19_0_Rock_Organ.smplpck
20_0;20_0_Church_Organ.smplpck
20_8;20_8_Church_Organ_2.smplpck
21_0;21_0_Reed_Organ.smplpck
22_0;22_0_Accordian.smplpck
22_8;22_8_Italian_Accordion.smplpck
23_0;23_0_Harmonica.smplpck
24_0;24_0_Bandoneon.smplpck
25_0;25_0_Nylon_String_Guitar.smplpck
25_8;25_8_Ukulele.smplpck
26_0;26_0_Steel_String_Guitar.smplpck
26_16;26_16_Mandolin.smplpck
26_8;26_8_12_String_Guitar.smplpck
27_0;27_0_Jazz_Guitar.smplpck
27_8;27_8_Hawaiian_Guitar.smplpck
28_0;28_0_Clean_Guitar.smplpck
29_0;29_0_Palm_Muted_Guitar.smplpck
29_8;29_8_Funk_Guitar.smplpck
30_0;30_0_Overdrive_Guitar.smplpck
31_0;31_0_Distortion_Guitar.smplpck
31_8;31_8_Feedback_Guitar.smplpck
32_0;32_0_Guitar_Harmonics.smplpck
32_8;32_8_Guitar_Feedback.smplpck
33_0;33_0_Acoustic_Bass.smplpck
34_0;34_0_Fingered_Bass.smplpck
35_0;35_0_Picked_Bass.smplpck
36_0;36_0_Fretless_Bass.smplpck
37_0;37_0_Slap_Bass.smplpck
38_0;38_0_Pop_Bass.smplpck
39_0;39_0_Synth_Bass_1.smplpck
39_8;39_8_Synth_Bass_3.smplpck
40_0;40_0_Synth_Bass_2.smplpck
40_8;40_8_Synth_Bass_4.smplpck
41_0;41_0_Violin.smplpck
41_8;41_8_Slow_Violin.smplpck
42_0;42_0_Viola.smplpck
43_0;43_0_Cello.smplpck
44_0;44_0_Contrabass.smplpck
45_0;45_0_Tremolo.smplpck
46_0;46_0_Pizzicato_Section.smplpck
47_0;47_0_Harp.smplpck
49_0;49_0_Strings.smplpck
49_8;49_8_Orchestral_Pad.smplpck
50_0;50_0_Slow_Strings.smplpck
51_0;51_0_Synth_Strings_1.smplpck
51_8;51_8_Synth_Strings_3.smplpck
52_0;52_0_Synth_Strings_2.smplpck
53_0;53_0_Ahh_Choir.smplpck
54_0;54_0_Ohh_Voices.smplpck
55_0;55_0_Synth_Voice.smplpck
56_0;56_0_Orchestra_Hit.smplpck
57_0;57_0_Trumpet.smplpck
58_0;58_0_Trombone.smplpck
59_0;59_0_Tuba.smplpck
60_0;60_0_Muted_Trumpet.smplpck
61_0;61_0_French_Horns.smplpck
62_0;62_0_Brass_Section.smplpck
62_8;62_8_Brass_2.smplpck
63_0;63_0_Synth_Brass_1.smplpck
63_8;63_8_Synth_Brass_3.smplpck
64_0;64_0_Synth_Brass_2.smplpck
64_8;64_8_Synth_Brass_4.smplpck
65_0;65_0_Soprano_Sax.smplpck
66_0;66_0_Alto_Sax.smplpck
67_0;67_0_Tenor_Sax.smplpck
67_0;67_0_Tenor_Sax.smplpck
68_0;68_0_Baritone_Sax.smplpck
69_0;69_0_Oboe.smplpck
70_0;70_0_English_Horn.smplpck
71_0;71_0_Bassoon.smplpck
71_0;71_0_Bassoon.smplpck
72_0;72_0_Clarinet.smplpck
73_0;73_0_Piccolo.smplpck
75_0;75_0_Recorder.smplpck
76_0;76_0_Pan_Flute.smplpck
77_0;77_0_Bottle_Chiff.smplpck
78_0;78_0_Shakuhachi.smplpck
79_0;79_0_Whistle.smplpck
80_0;80_0_Ocarina.smplpck
81_0;81_0_Square_Lead.smplpck
81_8;81_8_Sine_Wave.smplpck
82_0;82_0_Saw_Wave.smplpck
83_0;83_0_Calliope_Lead.smplpck
84_0;84_0_Chiffer_Lead.smplpck
85_0;85_0_Charang.smplpck
86_0;86_0_Solo_Vox.smplpck
87_0;87_0_Fifth_Sawtooth_Wave.smplpck
88_0;88_0_Bass_&_Lead.smplpck
89_0;89_0_Fantasia.smplpck
90_0;90_0_Warm_Pad.smplpck
91_0;91_0_Polysynth.smplpck
92_0;92_0_Space_Voice.smplpck
93_0;93_0_Bowed_Glass.smplpck
94_0;94_0_Metal_Pad.smplpck
95_0;95_0_Halo_Pad.smplpck
96_0;96_0_Sweep_Pad.smplpck
97_0;97_0_Ice_Rain.smplpck
98_0;98_0_Soundtrack.smplpck
99_0;99_0_Crystal.smplpck
100_0;100_0_Atmosphere.smplpck
101_0;101_0_Brightness.smplpck
102_0;102_0_Goblin.smplpck
103_0;103_0_Echo_Drops.smplpck
104_0;104_0_Star_Theme.smplpck
105_0;105_0_Sitar.smplpck
106_0;106_0_Banjo.smplpck
107_0;107_0_Shamisen.smplpck
107_0;107_0_Shamisen.smplpck
108_0;108_0_Koto.smplpck
108_8;108_8_Taisho_Koto.smplpck
109_0;109_0_Kalimba.smplpck
110_0;110_0_BagPipe.smplpck
111_0;111_0_Fiddle.smplpck
112_0;112_0_Shenai.smplpck
113_0;113_0_Tinker_Bell.smplpck
114_0;114_0_Agogo.smplpck
115_0;115_0_Steel_Drums.smplpck
116_0;116_0_Woodblock.smplpck
116_8;116_8_Castanets.smplpck
117_0;117_0_Taiko_Drum.smplpck
117_8;117_8_Concert_Bass_Drum.smplpck
118_0;118_0_Melodic_Tom.smplpck
118_8;118_8_Melo_Tom_2.smplpck
119_0;119_0_Synth_Drum.smplpck
119_8;119_8_808_Tom.smplpck
120_0;120_0_Reverse_Cymbal.smplpck
121_0;121_0_Fret_Noise.smplpck
122_0;122_0_Breath_Noise.smplpck
123_0;123_0_Sea_Shore.smplpck
124_0;124_0_Bird_Tweet.smplpck
125_0;125_0_Telephone.smplpck
126_0;126_0_Helicopter.smplpck
126_9;126_9_Burst_Noise.smplpck
127_0;127_0_Applause.smplpck
128_0;128_0_Gun_Shot.smplpck
1_128;1_128_Standard.smplpck
2_128;2_128_Standard_1.smplpck
3_128;3_128_Standard_2.smplpck
4_128;4_128_Standard_3.smplpck
5_128;5_128_Standard_4.smplpck
6_128;6_128_Standard_5.smplpck
7_128;7_128_Standard_6.smplpck
8_128;8_128_Standard_7.smplpck
9_128;9_128_Room.smplpck
10_128;10_128_Room_1.smplpck
11_128;11_128_Room_2.smplpck
12_128;12_128_Room_3.smplpck
13_128;13_128_Room_4.smplpck
14_128;14_128_Room_5.smplpck
15_128;15_128_Room_6.smplpck
16_128;16_128_Room_7.smplpck
17_128;17_128_Power.smplpck
18_128;18_128_Power_1.smplpck
19_128;19_128_Power_2.smplpck
20_128;20_128_Power_3.smplpck
25_128;25_128_Electronic.smplpck
26_128;26_128_TR-808.smplpck
33_128;33_128_Jazz.smplpck
34_128;34_128_Jazz_1.smplpck
35_128;35_128_Jazz_2.smplpck
35_128;35_128_Jazz_2.smplpck
36_128;36_128_Jazz_3.smplpck
37_128;37_128_Jazz_4.smplpck
41_128;41_128_Brush.smplpck
42_128;42_128_Brush_1.smplpck
42_128;42_128_Brush_1.smplpck
43_128;43_128_Brush_2.smplpck
49_128;49_128_Orchestra_Kit.smplpck
