id;name;gm_inst
Acid Bass;Acid Bass;null
Acid Bass Drum;Acid Bass Drum;null
Acoustic Bass 1;Acoustic Bass 1;33
Acoustic Bass 2;Acoustic Bass 2;33
Acoustic Bass 3;Acoustic Bass 3;33
Acoustic Guitar1;Acoustic Guitar 1;25
Acoustic Guitar2;Acoustic Guitar 2;26
Acoustic Guitar3;Acoustic Guitar 3;25
Acoustic Piano 1;Acoustic Piano 1;1
Acoustic Piano 2;Acoustic Piano 2;2
Acoustic Piano 3;Acoustic Piano 3;3
Acoustic Piano 4;Acoustic Piano 4;4
Acoustic Snare 1;Acoustic Snare 1;null
Acoustic Snare 2;Acoustic Snare 2;null
Acoustic Snare 3;Acoustic Snare 3;null
Afterthought;Afterthought;null
Alien Swell 1;Alien Swell 1;null
Alien Swell 2;Alien Swell 2;null
Asia;Asia;null
Atmosphere 1;Atmosphere 1;100
Atmosphere 2;Atmosphere 2;100
Banjo 1;Banjo 1;106
Banjo 2;Banjo 2;106
Banjo 3;Banjo 3;106
Banjo 4;Banjo 4;106
Banjo 5;Banjo 5;106
Bass Drum 1;Bass Drum 1;null
Bass Drum 2;Bass Drum 2;null
Bass Drum 3;Bass Drum 3;null
Bass Drum 4;Bass Drum 4;null
Bass Grand 1;Bass Grand 1;null
Bass Grand 2;Bass Grand 2;null
Bass Grand 3;Bass Grand 3;null
Bass Grand 4;Bass Grand 4;null
Bass Perc Mix 1;Bass Perc Mix 1;null
Bass Perc Mix 2;Bass Perc Mix 2;null
Bass Scratch;Bass Scratch;null
Bass Synth 1;Bass Synth 1;39
Bass Synth 2;Bass Synth 2;40
Bass Synth 3;Bass Synth 3;39
Bass Synth 4;Bass Synth 4;40
Bass Synth 5;Bass Synth 5;39
Bass Vibes 1;Bass Vibes 1;null
Bass Vibes 2;Bass Vibes 2;null
Bassoon;Bassoon;71
Bell Synth;Bell Synth;null
Bells 1;Bells 1;null
Bells 2;Bells 2;null
Big Organ;Big Organ;null
Blurb;Blurb;null
Boing 1;Boing 1;null
Boing 2;Boing 2;null
Bones;Bones;null
Bongo;Bongo;null
Bottle Blower;Bottle Blower;null
Brass Hit;Brass Hit;null
Brass Slide;Brass Slide;null
Brassy Lead 1;Brassy Lead 1;null
Brassy Lead 2;Brassy Lead 2;null
Brassy Lead 3;Brassy Lead 3;null
Brassy Lead 4;Brassy Lead 4;null
Brassy Short;Brassy Short;null
Breath 1;Breath 1;null
Breath 2;Breath 2;null
Bright Chirp;Bright Chirp;null
Bright Grand;Bright Grand;null
Bubble Lead;Bubble Lead;null
Bubbling;Bubbling;null
Cabasa;Cabasa;null
Calliope;Calliope;83
Cameo 1;Cameo 1;null
Cameo 2;Cameo 2;null
Carhorn;Carhorn;null
Castanets;Castanets;null
Celesta 1;Celesta 1;9
Celesta 2;Celesta 2;9
Cello 1;Cello 1;43
Cello 2;Cello 2;43
Chiff Mallet;Chiff Mallet;null
Chiff Pad;Chiff Pad;null
Choir Aahs;Choir Aahs;53
Choir Lead;Choir Lead;86
Chord 1;Chord 1;null
Chord 2;Chord 2;null
Chord 3;Chord 3;null
Chord 4;Chord 4;null
Chord 5;Chord 5;null
Chord 6;Chord 6;null
Chord 7;Chord 7;null
Chord 8;Chord 8;null
Chorused Pulse;Chorused Pulse;null
Claps 1;Claps 1;null
Claps 2;Claps 2;null
Clarinet 1;Clarinet 1;72
Clarinet 2;Clarinet 2;72
Clarinet 3;Clarinet 3;72
Claves 1;Claves 1;null
Claves 2;Claves 2;null
Claves 3;Claves 3;null
Clavinet;Clavinet;8
Clink 1;Clink 1;null
Clink 2;Clink 2;null
Closed HiHat 1;Closed HiHat 1;null
Closed HiHat 2;Closed HiHat 2;null
Closed HiHat 3;Closed HiHat 3;null
Closed HiHat 4;Closed HiHat 4;null
Closed HiHat 5;Closed HiHat 5;null
Closed HiHat 6;Closed HiHat 6;null
Closed HiHat 7;Closed HiHat 7;null
Closed HiHat 8;Closed HiHat 8;null
Closed HiHat 9;Closed HiHat 9;null
Cow;Cow;null
Cowbell 1;Cowbell 1;null
Cowbell 2;Cowbell 2;null
Cowbell 3;Cowbell 3;null
Cowbell 4;Cowbell 4;null
Distortion 1;Distortion 1;null
Distortion 2;Distortion 2;null
Dog;Dog;null
Dream Bells;Dream Bells;null
Dream Pad;Dream Pad;null
Drum+Hum 1;Drum+Hum 1;null
Drum+Hum 2;Drum+Hum 2;null
Dry 1;Dry 1;null
Dry 2;Dry 2;null
Dry 3;Dry 3;null
Dry 4;Dry 4;null
Echo Brass 1;Echo Brass 1;null
Echo Brass 2;Echo Brass 2;null
Echo Claps;Echo Claps;null
Elec Organ 1;Elec Organ 1;17
Elec Organ 2;Elec Organ 2;17
Elec Organ 3;Elec Organ 3;17
Elec Organ 4;Elec Organ 4;17
Elec Organ 5;Elec Organ 5;17
Elec Organ 6;Elec Organ 6;17
Electric Bass 1;Electric Bass 1;34
Electric Bass 2;Electric Bass 2;35
Electric Bass 3;Electric Bass 3;34
Electric Bass 4;Electric Bass 4;35
Electric Bass 5;Electric Bass 5;34
Electric Bongo;Electric Bongo;null
Electric Piano 1;Electric Piano 1;5
Electric Piano 2;Electric Piano 2;6
Electric Piano 3;Electric Piano 3;3
Electric Piano 4;Electric Piano 4;5
Electric Snare 1;Electric Snare 1;null
Electric Snare 2;Electric Snare 2;null
Electric Snare 3;Electric Snare 3;null
Electric Tom 1;Electric Tom 1;null
Electric Tom 2;Electric Tom 2;null
Electric Tom 3;Electric Tom 3;null
English Horn;English Horn;70
EPiano Chord;EPiano Chord;null
EPiano Lead;EPiano Lead;null
Ethnic Guitar 1;Ethnic Guitar 1;null
Ethnic Guitar 2;Ethnic Guitar 2;null
Ethnic Guitar 3;Ethnic Guitar 3;null
Explosion;Explosion;null
Fantasia Bell 1;Fantasia Bell 1;89
Fantasia Bell 2;Fantasia Bell 2;89
Fifths;Fifths;null
Fingered El Bass;Fingered El Bass;null
Flexatone;Flexatone;null
Flute 1;Flute 1;74
Flute 2;Flute 2;74
Flute 3;Flute 3;74
FM HiHat;FM HiHat;null
Fretless Bass;Fretless Bass;null
Full Organ;Full Organ;null
Funk Guitar;Funk Guitar;null
Glass Lead;Glass Lead;null
Glockenspiel;Glockenspiel;null
Gong 1;Gong 1;null
Gong 2;Gong 2;null
Gong Drum;Gong Drum;null
Gong Synth;Gong Synth;null
Grand Piano;Grand Piano;null
Guitar Harmonics;Guitar Harmonics;null
Guitar Pad;Guitar Pad;null
Hammond Organ 1;Hammond Organ 1;17
Hammond Organ 2;Hammond Organ 2;17
Hard Block;Hard Block;null
Hard Cymbal 1;Hard Cymbal 1;null
Hard Cymbal 2;Hard Cymbal 2;null
Harp Chord;Harp Chord;null
Harpsichord 1;Harpsichord 1;7
Harpsichord 2;Harpsichord 2;7
Heartbeat;Heartbeat;null
HellsBell;HellsBell;null
High Agogo;High Agogo;null
High Cuica;High Cuica;null
High Jazz Snare;High Jazz Snare;null
High Solo Scream;High Solo Scream;null
High Timbale;High Timbale;null
High Timpani;High Timpani;null
High Tom;High Tom;null
Hollow Wha;Hollow Wha;null
Hollow Whaw;Hollow Whaw;null
House Bass;House Bass;null
House Drum;House Drum;null
Hum 1;Hum 1;null
Hum 2;Hum 2;null
Hum 3;Hum 3;null
Hum 4;Hum 4;null
Hum 5;Hum 5;null
Ice Rain;Ice Rain;null
Jazz Guitar;Jazz Guitar;null
Jazz Organ;Jazz Organ;null
Jazz Snare;Jazz Snare;null
Kick 1;Kick 1;null
Kick 2;Kick 2;null
Koto 1;Koto 1;null
Koto 2;Koto 2;null
Laser War;Laser War;null
Log Drum;Log Drum;null
Long Mallet;Long Mallet;null
Long Snare 1;Long Snare 1;null
Long Snare 2;Long Snare 2;null
Low Agogo;Low Agogo;null
Low Cuica;Low Cuica;null
Low ElTom 1;Low ElTom 1;null
Low ElTom 2;Low ElTom 2;null
Low ElTom 3;Low ElTom 3;null
Low Guitar;Low Guitar;null
Low Timbale;Low Timbale;null
Low Timpani;Low Timpani;null
Low Tom 1;Low Tom 1;null
Low Tom 2;Low Tom 2;null
Machine Gun;Machine Gun;null
Mallet Snare;Mallet Snare;null
Mallet Synth;Mallet Synth;null
Maracas;Maracas;null
Marimba 1;Marimba 1;13
Marimba 2;Marimba 2;13
Marimba 3;Marimba 3;13
Marimba 4;Marimba 4;13
Marimba 5;Marimba 5;13
Melodic Cymbal;Melodic Cymbal;null
Melodic Tom;Melodic Tom;null
Metal Scratch 1;Metal Scratch 1;null
Metal Scratch 2;Metal Scratch 2;null
Metal Synth;Metal Synth;null
Metal Synth Bass;Metal Synth Bass;null
Mid Tom;Mid Tom;null
Mono Tone Lead;Mono Tone Lead;null
Monster Pad;Monster Pad;null
Monster Snare 1;Monster Snare 1;null
Monster Snare 2;Monster Snare 2;null
Mood Music;Mood Music;null
Moog;Moog;null
Moog Bass;Moog Bass;null
