rounded|0.94|0,0.2,0.4,0.5,0.6,0.7,0.8,0.85,0.9,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.95,0.9,0.85,0.8,0.7,0.6,0.5,0.4,0.2,0,-0.2,-0.4,-0.5,-0.6,-0.7,-0.8,-0.85,-0.9,-0.95,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.95,-0.9,-0.85,-0.8,-0.7,-0.6,-0.5,-0.4,-0.2
triangle|1|1/15,0.2,5/15,7/15,0.6,11/15,13/15,1,1,13/15,11/15,0.6,7/15,5/15,0.2,1/15,-1/15,-0.2,-5/15,-7/15,-0.6,-11/15,-13/15,-1,-1,-13/15,-11/15,-0.6,-7/15,-5/15,-0.2,-1/15
square|0.5|1,-1
1/4 pulse|0.5|1,-1,-1,-1
1/8 pulse|0.5|1,-1,-1,-1,-1,-1,-1,-1
sawtooth|0.65|1/31,3/31,5/31,7/31,9/31,11/31,13/31,15/31,17/31,19/31,21/31,23/31,25/31,27/31,29/31,1,-1,-29/31,-27/31,-25/31,-23/31,-21/31,-19/31,-17/31,-15/31,-13/31,-11/31,-9/31,-7/31,-5/31,-3/31,-1/31
double saw|0.5|0,-0.2,-0.4,-0.6,-0.8,-1,1,-0.8,-0.6,-0.4,-0.2,1,0.8,0.6,0.4,0.2
double pulse|0.4|1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1
spiky|0.4|1,-1,1,-1,1,0
sine|0.88|8,9,11,12,13,14,15,15,15,15,14,14,13,11,10,9,7,6,4,3,2,1,0,0,0,0,1,1,2,4,5,6
flute|0.8|3,4,6,8,10,11,13,14,15,15,14,13,11,8,5,3
harp|0.8|0,3,3,3,4,5,5,6,7,8,9,11,11,13,13,15,15,14,12,11,10,9,8,7,7,5,4,3,2,1,0,0
sharp clarinet|0.38|0,0,0,1,1,8,8,9,9,9,8,8,8,8,8,9,9,7,9,9,10,4,0,0,0,0,0,0,0,0,0,0
soft clarinet|0.45|0,1,5,8,9,9,9,9,9,9,9,11,11,12,13,12,10,9,7,6,4,3,3,3,1,1,1,1,1,1,1,1
alto sax|0.3|5,5,6,4,3,6,8,7,2,1,5,6,5,4,5,7,9,11,13,14,14,14,14,13,10,8,7,7,4,3,4,2
bassoon|0.35|9,9,7,6,5,4,4,4,4,5,7,8,9,10,11,13,13,11,10,9,7,6,4,2,1,1,1,2,2,5,11,14
trumpet|0.22|10,11,8,6,5,5,5,6,7,7,7,7,6,6,7,7,7,7,7,6,6,6,6,6,6,6,6,7,8,9,11,14
electric guitar|0.2|11,12,12,10,6,6,8,0,2,4,8,10,9,10,1,7,11,3,6,6,8,13,14,2,0,12,8,4,13,11,10,13
organ|0.2|11,10,12,11,14,7,5,5,12,10,10,9,12,6,4,5,13,12,12,10,12,5,2,2,8,6,6,5,8,3,2,1
pan flute|0.35|1,4,7,6,7,9,7,7,11,12,13,15,13,11,11,12,13,10,7,5,3,6,10,7,3,3,1,0,1,0,1,0
glitch|0.5|1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-1,-1
brucebox isolated spiky|0.5|1.0,-1.0,1.0,-1.0,1.0,-1.0
brucebox pokey 4bit lfsr|0.5|1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0
brucebox pokey 5step bass|0.5|1.0,-1.0,1.0,-1.0,1.0
haileybox test1|0.5|1.0,0.5,-1.0
modbox 1% pulse|0.5|1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
modbox 10% pulse|0.5|1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
modbox acoustic bass|0.5|1.0,0.0,0.1,-0.1,-0.2,-0.4,-0.3,-1.0
modbox atari bass|0.5|1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
modbox atari pulse|0.5|1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
modbox brass|0.45|-1.0,-0.95,-0.975,-0.9,-0.85,-0.8,-0.775,-0.65,-0.6,-0.5,-0.475,-0.35,-0.275,-0.2,-0.125,-0.05,0.0,0.075,0.125,0.15,0.20,0.21,0.225,0.25,0.225,0.21,0.20,0.19,0.175,0.125,0.10,0.075,0.06,0.05,0.04,0.025,0.04,0.05,0.10,0.15,0.225,0.325,0.425,0.575,0.70,0.85,0.95,1.0,0.9,0.675,0.375,0.2,0.275,0.4,0.5,0.55,0.6,0.625,0.65,0.65,0.65,0.65,0.64,0.6,0.55,0.5,0.4,0.325,0.25,0.15,0.05,-0.05,-0.15,-0.275,-0.35,-0.45,-0.55,-0.65,-0.7,-0.78,-0.825,-0.9,-0.925,-0.95,-0.975
modbox curved sawtooth|0.5|1.0,1.0/2.0,1.0/3.0,1.0/4.0
modbox flatline|1.0|1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
modbox guitar|0.5|-0.5,3.5,3.0,-0.5,-0.25,-1.0
modbox loud pulse|0.5|1.0,0.7,0.1,0.1,0,0,0,0,0,0.1,0.2,0.15,0.25,0.125,0.215,0.345,4.0
modbox lyre|0.45|1.0,-1.0,4.0,2.15,4.13,5.15,0.0,-0.05,1.0
modbox piccolo|0.5|1,4,2,1,-0.1,-1,-0.12
modbox pnryshk a (u5)|0.4|1.0,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.0
modbox pnryshk b (riff)|0.5|1.0,-0.9,0.8,-0.7,0.6,-0.5,0.4,-0.3,0.2,-0.1,0.0,-0.1,0.2,-0.3,0.4,-0.5,0.6,-0.7,0.8,-0.9,1.0
modbox ramp pulse|0.5|6.1,-2.9,1.4,-2.9 
modbox sax|0.5|1.0/15.0,3.0/15.0,5.0/15.0,9.0,0.06
modbox sine|0.5|0.0,0.05,0.125,0.2,0.25,0.3,0.425,0.475,0.525,0.625,0.675,0.725,0.775,0.8,0.825,0.875,0.9,0.925,0.95,0.975,0.98,0.99,0.995,1,0.995,0.99,0.98,0.975,0.95,0.925,0.9,0.875,0.825,0.8,0.775,0.725,0.675,0.625,0.525,0.475,0.425,0.3,0.25,0.2,0.125,0.05,0.0,-0.05,-0.125,-0.2,-0.25,-0.3,-0.425,-0.475,-0.525,-0.625,-0.675,-0.725,-0.775,-0.8,-0.825,-0.875,-0.9,-0.925,-0.95,-0.975,-0.98,-0.99,-0.995,-1,-0.995,-0.99,-0.98,-0.975,-0.95,-0.925,-0.9,-0.875,-0.825,-0.8,-0.775,-0.725,-0.675,-0.625,-0.525,-0.475,-0.425,-0.3,-0.25,-0.2,-0.125,-0.05
modbox squaretooth|0.5|0.2,1.0,2.6,1.0,0.0,-2.4
modbox sunsoft bass|1.0|0.0,0.1875,0.3125,0.5625,0.5,0.75,0.875,1.0,1.0,0.6875,0.5,0.625,0.625,0.5,0.375,0.5625,0.4375,0.5625,0.4375,0.4375,0.3125,0.1875,0.1875,0.375,0.5625,0.5625,0.5625,0.5625,0.5625,0.4375,0.25,0.0
modbox viola|0.45|-0.9,-1.0,-0.85,-0.775,-0.7,-0.6,-0.5,-0.4,-0.325,-0.225,-0.2,-0.125,-0.1,-0.11,-0.125,-0.15,-0.175,-0.18,-0.2,-0.21,-0.22,-0.21,-0.2,-0.175,-0.15,-0.1,-0.5,0.75,0.11,0.175,0.2,0.25,0.26,0.275,0.26,0.25,0.225,0.2,0.19,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.275,0.28,0.29,0.3,0.29,0.28,0.27,0.26,0.25,0.225,0.2,0.175,0.15,0.1,0.075,0.0,-0.01,-0.025,0.025,0.075,0.2,0.3,0.475,0.6,0.75,0.85,0.85,1.0,0.99,0.95,0.8,0.675,0.475,0.275,0.01,-0.15,-0.3,-0.475,-0.5,-0.6,-0.71,-0.81,-0.9,-1.0,-0.9
nerdbox unnamed 1|0.5|0.2,0.8/0.2,0.7,-0.4,-1.0,0.5,-0.5/0.6
nerdbox unnamed 2|0.5|2.0,5.0/55.0,-9.0,6.5/6.5,-55.0,18.5/-26.0
sandbox bassoon|0.5|1.0,-1.0,1,1,1,1,1,1,1,1,1,1,0
sandbox contrabass|0.5|4.20,6.9,1.337,6.66
sandbox deep square|1.0|1.0,2.25,1.0,-1.0,-2.25,-1.0
sandbox double bass|0.4|0.0,0.1875,0.3125,0.5625,0.5,0.75,0.875,1.0,-1.0,-0.6875,-0.5,-0.625,-0.625,-0.5,-0.375,-0.5625,-0.4375,-0.5625,-0.4375,-0.4375,-0.3125,-0.1875,0.1875,0.375,0.5625,-0.5625,0.5625,0.5625,0.5625,0.4375,0.25,0.0
sandbox double sine|1.0|1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.8,1.7,1.6,1.5,1.4,1.3,1.2,1.1,1.0,0.0,-1.0,-1.1,-1.2,-1.3,-1.4,-1.5,-1.6,-1.7,-1.8,-1.9,-1.8,-1.7,-1.6,-1.5,-1.4,-1.3,-1.2,-1.1,-1.0
sandbox euphonium|0.3|0,1,2,1,2,1,4,2,5,0,-2,1,5,1,2,1,2,4,5,1,5,-2,5,10,1
sandbox narrow saw|1.2|0.1,0.13/-0.1,0.13/-0.3,0.13/-0.5,0.13/-0.7,0.13/-0.9,0.13/-0.11,0.13/-0.31,0.13/-0.51,0.13/-0.71,0.13/-0.91,0.13/-0.12,0.13/-0.32,0.13/-0.52,0.13/-0.72,0.13/-0.92,0.13/-0.13,0.13/0.13,0.13/0.92,0.13/0.72,0.13/0.52,0.13/0.32,0.13/0.12,0.13/0.91,0.13/0.71,0.13/0.51,0.13/0.31,0.13/0.11,0.13/0.9,0.13/0.7,0.13/0.5,0.13/0.3,0.13
sandbox nes pulse|0.4|2.1,-2.2,1.2,3
sandbox r-sawtooth|0.2|6.1,-2.9,1.4,-2.9
sandbox recorder|0.2|5.0,-5.1,4.0,-4.1,3.0,-3.1,2.0,-2.1,1.0,-1.1,6.0
sandbox ring pulse|1.0|1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
sandbox saw bass|0.25|1,1,1,1,0,2,1,2,3,1,-2,1,4,1,4,2,1,6,-3,4,2,1,5,1,4,1,5,6,7,1,6,1,4,1,9
sandbox shrill bass|0.5|0,1,0,0,1,0,1,0,0,0
sandbox shrill lute|0.94|1.0,1.5,1.25,1.2,1.3,1.5
sandbox shrill pulse|0.3|4,-2,0,4,1,4,6,7,3
todbox 1/3 pulse|0.5|1.0,-1.0,-1.0
todbox 1/5 pulse|0.5|1.0,-1.0,-1.0,-1.0,-1.0
todbox accordian|0.5|0,1,1,2,2,1.5,1.5,0.8,0,-2,-3.25,-4,-4.5,-5.5,-6,-5.75,-5.5,-5,-5,-5,-6,-6,-6,-5,-4,-3,-2,-1,0.75,1,2,3,4,5,6,6.5,7.5,8,7.75,6,5.25,5,5,5,5,5,4.25,3.75,3.25,2.75,1.25,-0.75,-2,-0.75,1.25,1.25,2,2,2,2,1.5,-1,-2,-1,1.5,2, 2.75,2.75,2.75,3,2.75,-1,-2,-2.5,-2,-1,-2.25,-2.75,-2,-3,-1.75,1,2,3.5,4,5.25,6,8,9.75,10,9.5,9,8.5,7.5,6.5,5.25,5,4.5,4,4,4,3.25,2.5,2,1,-0.5,-2,-3.5,-4,-4,-4,-3.75,-3,-2,-1
