id;gm_key
Acoustic Bass Drum;-25
Bass Drum 1;-24
Side Stick;-23
Acoustic Snare;-22
Hand Clap;-21
Electric Snare;-20
Low Floor Tom;-19
Closed Hi-Hat;-18
High Floor Tom;-17
Pedal Hi-Hat;-16
Low Tom;-15
Open Hi-Hat;-14
Low-Mid Tom;-13
Hi-Mid Tom;-12
Crash Cymbal 1;-11
High Tom;-10
Ride Cymbal 1;-9
Chinese Cymbal;-8
Ride Bell;-7
Tambourine;-6
Splash Cymbal;-5
Cowbell;-4
Crash Symbol 2;-3
Vibraslap;-2
Ride Cymbal 2;-1
Hi Bongo;0
Low Bongo;1
Mute Hi Conga;2
Open Hi Conga;3
Low Conga;4
High Timbale;5
Low Timbale;6
High Agogo;7
Low Agogo;8
Cabasa;9
Maracas;10
Short Whistle;11
Long Whistle;12
Short Guiro;13
Long Guiro;14
Claves;15
Hi Wood Block;16
Low Wood Block;17
Mute Cuica;18
Open Cuica;19
Mute Triangle;20
Open Triangle;21
Shaker;22
Snare;-22
