id;name;color_r;color_g;color_b;isdrum;gm_inst
12;Acoustic Guitar;0.81;0.59;0.35;0;25
82;Damant Spectrum Muted;0.87;0.66;0.07;0;29
79;Fender Strat Guitar;0.51;0.8;0.76;0;26
78;Strat Guitar;0.33;0.42;0.68;0;26
47;Metal Guitar;0.05;0.05;0.05;0;30
64;Guitar Electric;0.71;0.38;0.13;0;27
77;Clean Electric Guitar;0.23;0.21;0.21;0;28
81;Damant Spectrum Harm;0.72;0.09;0.15;0;null
49;Bass Guitar;0.64;0.24;0.04;0;null
1;Bass;0.64;0.24;0.04;0;33
39;Bass #2;0.7;0.29;0.24;0;34
52;Bass #3;0.7;0.36;0.12;0;35
59;Bass #4;0.49;0.11;0.13;0;36
0;Synth Bass;0.18;0.2;0.21;0;39
21;Synth Bass #2;0.18;0.2;0.21;0;40
135;Sitar;0.43;0.13;0.04;0;105
136;Pizzicato;0.91;0.38;0.16;0;46
9;Strings;0.89;0.36;0.16;0;49
36;Strings #2;0.91;0.38;0.16;0;50
37;Strings #3;0.71;0.24;0.09;0;49
31;Synth Strings;0.4;0.53;0.42;0;51
80;Fret Noise;0.33;0.33;0.33;0;null
28;Grand Piano;0;0;0;0;1
114;Rhodes;0.18;0.18;0.16;0;5
121;Orchestra Hit;0.37;0.18;0.14;0;56
13;Low Piano;0;0;0;0;null
115;Rhodes #2;0.68;0.68;0.68;0;6
11;Synth;0.56;0.67;0.25;0;null
116;Electric Piano;0.79;0.04;0.09;0;3
117;Rock Organ;0.67;0.49;0.39;0;19
17;Synth #2;0.11;0.11;0.11;0;84
111;Clavinet;0.76;0.76;0.76;0;8
118;Church Organ;0.37;0.18;0.14;0;20
23;Synthesizer;0.33;0.34;0.39;0;81
112;Electric Clavinet;0.56;0.37;0.31;0;null
119;Percussive Organ;0.34;0.31;0.35;0;18
34;Synthesizer #2;0.33;0.34;0.39;0;82
113;Harpsichord;0.48;0.31;0.31;0;7
120;Organ;0.11;0.11;0.11;0;17
50;Synthesizer #3;0.33;0.34;0.39;0;83
110;Accordian;0.45;0.17;0.2;0;22
22;Triangle Wave;0.33;0.34;0.39;0;null
133;Techno Bass;0.07;0.18;0.26;0;null
2;Bass Drum;0.06;0.07;0.08;1;null
18;Bass Drum #2;0.11;0.39;0.29;1;null
24;Bass Drum #3;0.06;0.07;0.08;1;null
43;Bass Drum #4;0.11;0.39;0.29;1;null
60;Bass Drum #5;0.06;0.07;0.08;1;null
15;Snare Drum;0.85;0.66;0.37;1;null
42;Snare Drum #2;0.72;0.73;0.76;1;null
