id;name;color_r;color_g;color_b;group;isdrum;gm_inst
140036d2f84ca37;Stereo Grand Mellow;0.4588235294;0.2196078431;0.3333333333;13fefadfeada756;0;1
140452c1623e517;Stereo Grand Mellow (Filtered);0.4588235294;0.2196078431;0.3333333333;13fefadfeada756;0;1
1400bf3a537253f;Stereo Grand Bright;0.4588235294;0.2196078431;0.3333333333;13fefadfeada756;0;1
1400c30196b3a17;CP-80 EP;0.7411764706;0.4823529412;0.7882352941;13fefadfeada756;0;5
140653382cf3774;Clavinet;0.7333333333;0.7490196078;0.3137254902;13fefadfeada756;0;8
14068820564f03d;DX7 Wave;0.8;0.9647058824;0.6784313725;13fefadfeada756;0;null
14068834e8ee73d;DX7 Strike;0.1803921569;0.0509803922;0.8901960784;13fefadfeada756;0;null
1406899a022d3ca;Electric Piano 2MS;0.4823529412;0.5647058824;0.6784313725;13fefadfeada756;0;6
1406a75cd901b2e;Harpsichord #1;0.768627451;0.1921568627;0.1019607843;13fefadfeada756;0;7
1406a77fd62ecba;Harpsichord #2;0.5843137255;0.6862745098;0.4039215686;13fefadfeada756;0;7
1406a901e6f59e4;Honky-Tonk;0.031372549;0.3137254902;0.5176470588;13fefadfeada756;0;4
140752cbdc3f98b;Rhodes F;0.6784313725;0.631372549;0.7607843137;13fefadfeada756;0;3
14075990202330a;Rhodes M;0.1568627451;0.6666666667;0.6352941176;13fefadfeada756;0;3
140759c82cbc4ff;Rhodes P;0.1215686275;0.5803921569;0.4980392157;13fefadfeada756;0;3
1404781b662de9b;Tubular Bells;0.6431372549;0.3647058824;0.6156862745;13fefae17715623;0;15
1406528e3112e8f;Church Bells;0.6431372549;0.3647058824;0.6156862745;13fefae17715623;0;null
1407aa34a62d1ab;Tinker Bell;0.431372549;0.6156862745;0.5215686275;13fefae17715623;0;113
1404787fe10f490;Bell Tower;0.3882352941;0.3137254902;0.2745098039;13fefae17715623;0;null
14064f4e8251dd4;Celeste;0.168627451;0.7254901961;0.7019607843;13fefae17715623;0;null
140687de4239fe8;Dulcimer;0.8745098039;0.9960784314;0.831372549;13fefae17715623;0;16
14068c28f4c513c;Glockenspiel;0.6235294118;0.8823529412;0.7058823529;13fefae17715623;0;10
140785099afedb9;Glockenspiel Loop;0.3490196078;0.1843137255;0.5725490196;13fefae17715623;0;10
1406df406bf8fb6;Marimba;0.4784313725;0.6705882353;0.1098039216;13fefae17715623;0;13
1407009e987ee50;Music Box;0.3137254902;0.3568627451;0.7137254902;13fefae17715623;0;11
140700a37abe00b;Music Box Delay;0.3333333333;0.4352941176;0.5529411765;13fefae17715623;0;11
1407aca1ef444f6;Vibraphone;0.2549019608;0.537254902;0.3725490196;13fefae17715623;0;12
1407b0ce297c005;Xylophone;0.7803921569;0.2980392157;0.7843137255;13fefae17715623;0;14
14045afb227c5f8;Accordian #1;0.0235294118;0.4862745098;0.3411764706;13fefae8e3bf2c5;0;22
14045ca94365e6a;Accordian #2;0.0784313725;0.937254902;0.2392156863;13fefae8e3bf2c5;0;22
14045d927104a8b;Accordian #2 (delay #1);0.0784313725;0.937254902;0.2392156863;13fefae8e3bf2c5;0;22
14045d941c0d36e;Accordian #2 (delay #2);0.0784313725;0.937254902;0.2392156863;13fefae8e3bf2c5;0;22
1406db8da1f0948;Italian Accordian;0.0784313725;0.937254902;0.2392156863;13fefae8e3bf2c5;0;22
14046dbc2c825bb;Bandoneon #1;0.0235294118;0.4862745098;0.3411764706;13fefae8e3bf2c5;0;null
14046e2768d3c30;Bandoneon #2;0.0235294118;0.4862745098;0.3411764706;13fefae8e3bf2c5;0;null
140699cf00fe380;Hammond Organ;0.8862745098;0.937254902;0.6705882353;13fefae8e3bf2c5;0;18
